generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1782495186-3rVEbyvIwOalP8ZJC9pO,2026-06-26 17:33:06.200,0.002006,,-0.001939,,0,25963,85,0,25856,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,5930,3050,,Inference Model
gen-1782495180-sv7V251FZBjw2UcWPiyd,2026-06-26 17:33:00.440,0.003954,,,,0,25929,109,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,5597,2021,,Inference Model
gen-1782495173-f9uN9VpMTuINXX2dW2fr,2026-06-26 17:32:53.530,0.003608,,,,0,22619,359,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,6689,2238,,Inference Model
gen-1782495172-lzbRr0TcKPAN5JVKHBSa,2026-06-26 17:32:52.141,0.001915,,-0.001891,,0,25237,36,0,25216,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1131,809,,Inference Model
gen-1782495170-QzPaMYiEKsnsw0GCHfIB,2026-06-26 17:32:50.211,0.001963,,-0.001881,,0,25237,100,0,25088,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1714,796,,Inference Model
gen-1782495165-1ZXMYxbcS8kKYsluQHaC,2026-06-26 17:32:45.642,0.00384,,,,0,25203,100,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4371,1542,,Inference Model
gen-1782495142-jWVM7udNYyYBCoWKtQx3,2026-06-26 17:32:22.026,0.003538,,,,0,21909,420,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,23417,9081,,Inference Model
gen-1782495135-PDjAt2VMPrK7IWSA3SEk,2026-06-26 17:32:15.112,0.001889,,-0.001824,,0,24376,95,0,24320,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,6728,3609,,Inference Model
gen-1782495124-MKQvOOD1rbm1064wBTCt,2026-06-26 17:32:04.819,0.001881,,-0.001824,,0,24385,79,0,24320,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,9342,6339,,Inference Model
gen-1782495116-QhYMCrpDTxdEGwWxkV9q,2026-06-26 17:31:56.427,0.003716,,,,0,24351,107,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,8206,4758,,Inference Model
gen-1782495098-UO4sWTH6z4fSaU5RDpWd,2026-06-26 17:31:38.596,0.003424,,,,0,21079,438,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,17662,3174,,Inference Model
gen-1782495096-tDzSitIFWBvEoGWq7L14,2026-06-26 17:31:36.147,0.001849,,-0.001766,,0,23617,123,0,23552,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2201,659,,Inference Model
gen-1782495090-d4g8O1wOPpKhSv1MBB7D,2026-06-26 17:31:30.560,0.00363,,,,0,23583,155,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,5413,1817,,Inference Model
gen-1782495082-UEgphejVCinzsDex0uHK,2026-06-26 17:31:22.553,0.003284,,,,0,20329,392,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,7739,2304,,Inference Model
gen-1782495079-8hMLRW5AGLRkyyIcseXE,2026-06-26 17:31:19.242,0.001762,,-0.001708,,0,22849,74,0,22784,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3095,1459,,Inference Model
gen-1782495069-m7PJazPN95TsHExpoYjg,2026-06-26 17:31:09.729,0.003489,,,,0,22849,103,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,9305,5915,,Inference Model
gen-1782495066-Fi6UdBuN6eLZ4kYSU0Nn,2026-06-26 17:31:06.409,0.003478,,,,0,22815,94,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,3185,2147,,Inference Model
gen-1782495043-AZcUNOIs0i8S7uUYuaqq,2026-06-26 17:30:43.112,0.003184,,,,0,19579,413,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,22890,7346,,Inference Model
gen-1782495035-F4cj9jotKBE9KQR2GjBr,2026-06-26 17:30:35.497,0.003363,,,,0,21988,108,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,7428,5679,,Inference Model
gen-1782495029-ryl3mZ5X24ofrDamBvBM,2026-06-26 17:30:29.244,0.003348,,,,0,21963,90,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,6111,4630,,Inference Model
gen-1782495021-HT4ivEFcdhb5GyqgxjR3,2026-06-26 17:30:21.801,0.003057,,,,0,18749,409,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,7277,1840,,Inference Model
gen-1782495019-ZZcLz65vuMMBUUXOZ3op,2026-06-26 17:30:19.754,0.001618,,-0.001584,,0,21229,31,0,21120,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1798,1382,,Inference Model
gen-1782495014-o3ure1wQDkmpEOLiKFxz,2026-06-26 17:30:14.949,0.001653,,-0.001584,,0,21229,88,0,21120,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4659,1821,,Inference Model
gen-1782495007-ypLZTZkTQXbuWp4iRqKl,2026-06-26 17:30:07.566,0.003247,,,,0,21195,113,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,7225,3941,,Inference Model
gen-1782494982-FleVmoSX6puk7dWdXsH2,2026-06-26 17:29:42.273,0.00296,,,,0,17999,435,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,25157,6226,,Inference Model
gen-1782494977-sVGOrzRmLZzOt3GmVSff,2026-06-26 17:29:37.750,0.003127,,,,0,20469,95,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4349,1408,,Inference Model
gen-1782494968-1ys7gWH5mVVs34GqfQNR,2026-06-26 17:29:28.934,0.002896,,,,0,17289,506,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,8651,2972,,Inference Model
gen-1782494967-zVD6YUKrI8UvNV2U5uMR,2026-06-26 17:29:27.249,0.00208,,-0.002016,,0,26925,97,0,26880,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1461,621,,Inference Model
gen-1782494965-mIuKD40hiLoT2qE4mGTB,2026-06-26 17:29:25.433,0.002094,,-0.002006,,0,26925,104,0,26752,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1632,642,,Inference Model
gen-1782494960-B4aCr3Fek5axzF5nbqE8,2026-06-26 17:29:20.641,0.004092,,,,0,26900,96,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4636,1705,,Inference Model
gen-1782494950-f3osVAcHrtFy4s9IZldq,2026-06-26 17:29:10.864,0.003741,,,,0,23564,344,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,9616,3405,,Inference Model
gen-1782494944-iQ3Z0vDsu1JWjeYn2vTl,2026-06-26 17:29:04.699,0.00398,,,,0,26132,101,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,5925,2585,,Inference Model
gen-1782494936-Nr3NanO6lW5uFRX4NhXM,2026-06-26 17:28:56.705,0.003633,,,,0,22814,353,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,7785,1772,,Inference Model
gen-1782494934-tRMxrG5TT2dA5T7TbUKs,2026-06-26 17:28:54.247,0.003819,,,,0,25321,36,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2231,1467,,Inference Model
gen-1782494929-hS7378KkMnNPuCXiE5xJ,2026-06-26 17:28:49.518,0.00385,,,,0,25287,96,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,4585,3495,,Inference Model
gen-1782494910-kd7NFzTuz4mHXcXv8h6Q,2026-06-26 17:28:30.088,0.003534,,,,0,21989,394,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,19286,4533,,Inference Model
gen-1782494907-WXhijARtE7BNf4kKHBos,2026-06-26 17:28:27.298,0.003702,,,,0,24553,32,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,2344,2187,,Inference Model
gen-1782494896-Z5TZZRLogzyJBK4deql0,2026-06-26 17:28:16.893,0.003733,,,,0,24519,93,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,10227,7292,,Inference Model
